habitat,species,component,air_temp,sst,sub_surf_temp,water_temp,salinity,do,oa,slr,wave_action,upwelling,hab,precip_o,dessication_o,turbidity_o,currents_o,life_hist,dist_extent,pop_connect,dependencies,pop_status,plasticity_o,staff_capacity,sp_value,mpa_response,mpa_community,mandate,monitor_eval,flexibility,science_tech,proactive,average
kelp_forest,ca_sheephead,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,3,NA,2,4,2,4,2,5,2,2,2,3.29
kelp_forest,kelp_bass,sensitivity,NA,2,2,NA,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2
kelp_forest,kelp_bass,exposure,NA,5,5,NA,NA,NA,3,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
kelp_forest,kelp_bass,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,2,NA,2,3,2,4,2,5,2,2,2,3.07
kelp_forest,red_urchin,sensitivity,NA,4,4,NA,NA,4,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
kelp_forest,red_urchin,exposure,NA,5,5,NA,NA,1,2,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67
kelp_forest,red_urchin,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,NA,2,4,2,4,2,4,2,2,2,3.36
kelp_forest,spiny_lobster,sensitivity,NA,1,1,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
kelp_forest,spiny_lobster,exposure,NA,5,5,NA,NA,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
kelp_forest,spiny_lobster,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,5,3,NA,2,5,2,4,2,4,2,2,2,3.21
kelp_forest,giant_kelp,sensitivity,1,5,4,NA,1,1,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67
kelp_forest,giant_kelp,exposure,1,5,4,NA,1,2,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89
kelp_forest,giant_kelp,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,3,NA,2,5,2,4,5,4,3,3,1,3.57
pelagic,anchovy,sensitivity,NA,4,2,NA,1,3,3,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71
pelagic,anchovy,exposure,NA,5,2,NA,3,3,3,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14
pelagic,anchovy,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,4,NA,2,4,3,3,4,4,3,5,3,3.5
pelagic,sardine,sensitivity,NA,4,2,NA,1,3,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43
pelagic,sardine,exposure,NA,5,2,NA,2,2,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57
pelagic,sardine,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,2,NA,2,4,3,3,4,4,3,5,3,3.36
pelagic,white_shark,sensitivity,NA,2,2,NA,1,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57
pelagic,white_shark,exposure,NA,5,4,NA,3,4,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86
pelagic,white_shark,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,3,NA,2,3,3,4,4,2,4,5,4,3.36
pelagic,swordfish,sensitivity,NA,2,2,NA,1,3,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71
pelagic,swordfish,exposure,NA,4,4,NA,2,4,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57
pelagic,swordfish,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,2,5,3,3,2,1,2,4,1,3.43
rocky_shore,golden_rockweed,sensitivity,3,NA,NA,2,1,NA,2,4,4,1,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56
rocky_shore,golden_rockweed,exposure,4,NA,NA,4,2,NA,3,4,4,3,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44
rocky_shore,golden_rockweed,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,3,NA,2,3,3,4,4,4,4,5,4,3.14
rocky_shore,black_abalone,sensitivity,4,NA,NA,4,1,4,4,1,1,1,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7
rocky_shore,black_abalone,exposure,4,NA,NA,4,2,1,3,4,3,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
rocky_shore,black_abalone,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,2,NA,2,5,3,5,5,4,4,5,3,3.5
rocky_shore,ochre_sea_star,sensitivity,4,NA,NA,4,2,3,4,1,1,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55
rocky_shore,ochre_sea_star,exposure,3,NA,NA,4,2,1,3,1,3,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18
rocky_shore,ochre_sea_star,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,1,NA,2,5,3,4,4,5,4,5,1,3.43
rocky_shore,ca_mussel,sensitivity,5,NA,NA,4,1,4,4,2,4,4,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18
rocky_shore,ca_mussel,exposure,4,NA,NA,4,2,1,3,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09
rocky_shore,ca_mussel,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,3,2,5,3,5,3,5,4,5,5,3.87
sandy_seafloor,eelgrass,sensitivity,NA,3,3,NA,NA,NA,1,3,4,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
sandy_seafloor,eelgrass,exposure,NA,4,4,NA,NA,NA,4,4,4,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57
sandy_seafloor,eelgrass,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,3,2,4,3,3,4,1,4,5,4,2.8
sandy_seafloor,ca_halibut,sensitivity,NA,NA,NA,2,1,3,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63
sandy_seafloor,ca_halibut,exposure,NA,NA,NA,3,1,3,2,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
sandy_seafloor,ca_halibut,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,4,2,NA,2,4,2,4,2,1,3,5,2,3.07
sandy_seafloor,warty_sea_cuc,sensitivity,NA,NA,NA,4,1,1,2,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86
sandy_seafloor,warty_sea_cuc,exposure,NA,NA,NA,3,1,3,2,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29
sandy_seafloor,warty_sea_cuc,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,NA,2,5,3,3,2,1,4,4,2,2.71
sandy_seafloor,rock_crab_spp,sensitivity,NA,NA,NA,4,2,4,3,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14
sandy_seafloor,rock_crab_spp,exposure,NA,NA,NA,3,1,3,3,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57
sandy_seafloor,rock_crab_spp,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,3,NA,2,5,3,3,2,1,4,5,2,3.36
sandy_beach,pac_sand_crab,sensitivity,3,NA,NA,5,2,4,4,3,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
sandy_beach,pac_sand_crab,exposure,2,NA,NA,5,4,1,3,5,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
sandy_beach,pac_sand_crab,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,3,5,NA,2,4,2,2,3,3,4,5,2,3.5
pelagic_seabirds,brown_pelican,sensitivity,3,NA,NA,5,NA,NA,1,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43
pelagic_seabirds,brown_pelican,exposure,3,NA,NA,4,NA,NA,1,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86
pelagic_seabirds,brown_pelican,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,2,4,NA,2,5,3,4,4,2,4,4,4,3.57
pelagic_seabirds,scripps_murrelet,sensitivity,3,NA,NA,4,NA,NA,2,5,5,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63
pelagic_seabirds,scripps_murrelet,exposure,2,NA,NA,5,NA,NA,1,5,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25
pelagic_seabirds,scripps_murrelet,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,NA,2,3,3,4,4,2,4,5,4,2.64
